央卫,#genre#
兵团卫视,http://sc-zb-lt.sohu.blog:5000/rtp/239.0.0.41:5140$四川组播
西藏藏语频道,http://sc-zb-lt.sohu.blog:5000/rtp/239.0.0.105:5140$四川组播
金鹰卡通,http://sc-zb-lt.sohu.blog:5000/rtp/239.0.0.95:5140$四川组播
卡酷动画,http://sc-zb-lt.sohu.blog:5000/rtp/239.0.0.75:5140$四川组播
内蒙古卫视,http://sc-zb-lt.sohu.blog:5000/rtp/239.0.0.59:5140$四川组播
海南卫视,http://sc-zb-lt.sohu.blog:5000/rtp/239.0.0.73:5140$四川组播
山东教育,http://sc-zb-lt.sohu.blog:5000/rtp/239.0.0.197:5140$四川组播
延边卫视,http://sc-zb-lt.sohu.blog:5000/rtp/239.0.0.76:5140$四川组播
CHC家庭影院,http://sc-zb-lt.sohu.blog:5000/rtp/239.0.0.23:5140$四川组播
CHC动作影院,http://sc-zb-lt.sohu.blog:5000/rtp/239.0.0.24:5140$四川组播
CHC影院,http://sc-zb-lt.sohu.blog:5000/rtp/239.0.0.25:5140$四川组播
CETV-2,http://sc-zb-lt.sohu.blog:5000/rtp/239.0.0.196:5140$四川组播
CETV-4,http://sc-zb-lt.sohu.blog:5000/rtp/239.0.0.98:5140$四川组播
精彩影视,http://sc-zb-lt.sohu.blog:5000/rtp/239.0.0.26:5140$四川组播
老故事,http://sc-zb-lt.sohu.blog:5000/rtp/239.0.0.27:5140$四川组播
动漫秀场,http://sc-zb-lt.sohu.blog:5000/rtp/239.0.0.28:5140$四川组播
中学生,http://sc-zb-lt.sohu.blog:5000/rtp/239.0.0.29:5140$四川组播
乐游,http://sc-zb-lt.sohu.blog:5000/rtp/239.0.0.30:5140$四川组播
书画,http://sc-zb-lt.sohu.blog:5000/rtp/239.0.0.31:5140$四川组播
金色学堂,http://sc-zb-lt.sohu.blog:5000/rtp/239.0.0.32:5140$四川组播
法治天地,http://sc-zb-lt.sohu.blog:5000/rtp/239.0.0.33:5140$四川组播
财富天下,http://sc-zb-lt.sohu.blog:5000/rtp/239.0.0.34:5140$四川组播
茶频道,http://sc-zb-lt.sohu.blog:5000/rtp/239.0.0.36:5140$四川组播
先锋乒羽,http://sc-zb-lt.sohu.blog:5000/rtp/239.0.0.37:5140$四川组播
快乐垂钓,http://sc-zb-lt.sohu.blog:5000/rtp/239.0.0.40:5140$四川组播
4k高清,#genre#
四川视4K,http://sc-zb-lt.sohu.blog:5000/rtp/239.0.0.202:5140$四川组播
湖南视4K,http://sc-zb-lt.sohu.blog:5000/rtp/239.0.0.209:5140$四川组播
江苏视4K,http://sc-zb-lt.sohu.blog:5000/rtp/239.0.0.210:5140$四川组播
浙江视4K,http://sc-zb-lt.sohu.blog:5000/rtp/239.0.0.211:5140$四川组播
东方视4K,http://sc-zb-lt.sohu.blog:5000/rtp/239.0.0.212:5140$四川组播
山东视4K,http://sc-zb-lt.sohu.blog:5000/rtp/239.0.0.213:5140$四川组播
北京视4K,http://sc-zb-lt.sohu.blog:5000/rtp/239.0.0.198:5140$四川组播
深圳视4K,http://sc-zb-lt.sohu.blog:5000/rtp/239.0.0.199:5140$四川组播
广东视4K,http://sc-zb-lt.sohu.blog:5000/rtp/239.0.0.200:5140$四川组播
四川视4K,http://sc-zb-lt.sohu.blog:5000/rtp/239.0.0.202:5140$四川组播1
湖南视4K,http://sc-zb-lt.sohu.blog:5000/rtp/239.0.0.209:5140$四川组播1
江苏视4K,http://sc-zb-lt.sohu.blog:5000/rtp/239.0.0.210:5140$四川组播1
浙江视4K,http://sc-zb-lt.sohu.blog:5000/rtp/239.0.0.211:5140$四川组播1
东方视4K,http://sc-zb-lt.sohu.blog:5000/rtp/239.0.0.212:5140$四川组播1
山东视4K,http://sc-zb-lt.sohu.blog:5000/rtp/239.0.0.213:5140$四川组播1
北京视4K,http://sc-zb-lt.sohu.blog:5000/rtp/239.0.0.198:5140$四川组播1
深圳视4K,http://sc-zb-lt.sohu.blog:5000/rtp/239.0.0.199:5140$四川组播1
广东视4K,http://sc-zb-lt.sohu.blog:5000/rtp/239.0.0.200:5140$四川组播1
四川视4K,http://sc-zb-lt.sohu.blog:5000/rtp/239.0.0.202:5140$四川组播2
湖南视4K,http://sc-zb-lt.sohu.blog:5000/rtp/239.0.0.209:5140$四川组播2
江苏视4K,http://sc-zb-lt.sohu.blog:5000/rtp/239.0.0.210:5140$四川组播2
浙江视4K,http://sc-zb-lt.sohu.blog:5000/rtp/239.0.0.211:5140$四川组播2
东方视4K,http://sc-zb-lt.sohu.blog:5000/rtp/239.0.0.212:5140$四川组播2
山东视4K,http://sc-zb-lt.sohu.blog:5000/rtp/239.0.0.213:5140$四川组播2
北京视4K,http://sc-zb-lt.sohu.blog:5000/rtp/239.0.0.198:5140$四川组播2
深圳视4K,http://sc-zb-lt.sohu.blog:5000/rtp/239.0.0.199:5140$四川组播2
广东视4K,http://sc-zb-lt.sohu.blog:5000/rtp/239.0.0.200:5140$四川组播2
四川视4K,http://sc-zb-lt.sohu.blog:5000/rtp/239.0.0.202:5140$四川组播3
湖南视4K,http://sc-zb-lt.sohu.blog:5000/rtp/239.0.0.209:5140$四川组播3
江苏视4K,http://sc-zb-lt.sohu.blog:5000/rtp/239.0.0.210:5140$四川组播3
浙江视4K,http://sc-zb-lt.sohu.blog:5000/rtp/239.0.0.211:5140$四川组播3
东方视4K,http://sc-zb-lt.sohu.blog:5000/rtp/239.0.0.212:5140$四川组播3
山东视4K,http://sc-zb-lt.sohu.blog:5000/rtp/239.0.0.213:5140$四川组播3
北京视4K,http://sc-zb-lt.sohu.blog:5000/rtp/239.0.0.198:5140$四川组播3
深圳视4K,http://sc-zb-lt.sohu.blog:5000/rtp/239.0.0.199:5140$四川组播3
广东视4K,http://sc-zb-lt.sohu.blog:5000/rtp/239.0.0.200:5140$四川组播3
四川卫视4K,http://sc-zb-lt.sohu.blog:5000/rtp/239.0.0.203:5140$四川组播
湖南卫视4K,http://sc-zb-lt.sohu.blog:5000/rtp/239.0.0.204:5140$四川组播
江苏卫视4K,http://sc-zb-lt.sohu.blog:5000/rtp/239.0.0.205:5140$四川组播
